1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
1337,,,No,1201,GLQ,36,405,Fin,,1337,TA,4500,,,199,5,6,1237,1998,1998,153500
1563,,,No,33,GLQ,1530,758,RFn,,1563,Gd,10206,,,99,5,8,1563,2007,2007,245000
1065,,,No,0,Unf,1065,461,Unf,,1065,TA,8892,,,0,5,5,1065,1960,1960,126500
804,,,No,0,Unf,384,400,Fin,,1474,TA,8530,,,72,5,7,384,1995,1996,168500
1301,,,No,0,Unf,1288,462,Unf,,2417,Gd,16059,,,82,5,8,1288,1991,1992,260000
684,,,Av,0,Unf,684,400,Fin,,1560,Gd,11911,,,38,5,6,684,2005,2005,174000
612,,,Av,0,Unf,612,528,RFn,,1224,Gd,3951,,,234,5,6,612,2009,2009,164500
1013,,,No,0,Unf,1013,0,None,,1526,Fa,8470,,,0,2,3,1013,1915,1982,85000
990,,,No,588,Unk,402,0,None,,990,TA,8070,,,0,5,4,990,1994,1995,123600
1040,,,None,0,None,0,420,Unf,,1040,TA,7200,,,29,5,4,0,1950,1950,109900
1235,,,No,600,Rec,635,480,Unf,,1235,TA,8500,,,0,3,5,1235,1961,1961,98600
964,,,No,713,ALQ,163,432,Unf,,964,TA,13360,,,0,7,5,876,1921,2006,163500
1260,,,Mn,1046,Rec,168,506,Unf,,2291,TA,7200,,,0,6,6,1214,1910,1998,133900
905,,,No,648,GLQ,176,684,RFn,,1786,Gd,9337,,,162,5,6,824,1997,1997,204750
680,,,No,310,Unk,370,420,Fin,,1470,TA,9765,,,63,8,6,680,1993,1993,185000
1588,,,Av,1162,ALQ,426,472,RFn,,1588,Gd,10264,,,29,5,7,1588,1999,1999,214000
960,,,No,520,Rec,440,432,Fin,,960,TA,10921,,,0,5,4,960,1965,1965,94750
835,,,No,108,ALQ,350,366,Unf,,835,TA,10625,,,0,5,5,458,1920,1950,83000
1225,,,No,569,ALQ,381,0,None,,1225,TA,9320,,,0,5,4,950,1959,1959,128950
1610,,,Mn,1200,ALQ,410,480,RFn,,1610,Gd,10603,,,68,7,6,1610,1977,2001,205000
977,,,No,0,Unf,741,476,Fin,,1732,Gd,9206,,,46,5,6,741,1985,1985,178000
1535,,,None,0,None,0,410,Unf,,1535,TA,7018,,,0,5,5,0,1979,1979,118964
1226,,,No,0,Unf,1226,740,RFn,,1226,Gd,10402,,,36,5,7,1226,2009,2009,198900
1226,,,No,224,LwQ,816,240,Unf,,1818,TA,7758,,,0,4,7,1040,1931,1950,169500
1053,,,No,0,Unf,1053,648,RFn,,1992,Gd,9375,,,45,5,8,1053,2003,2004,250000
1047,,,No,0,Unf,641,273,Unf,,1047,TA,10800,,,0,7,4,641,1885,1995,100000
789,,,No,104,ALQ,516,250,Unf,,789,TA,6000,,,0,5,5,789,1948,1950,115000
997,,,No,0,Unf,793,0,None,,1517,Fa,8500,,,0,7,5,793,1919,2005,115000
1844,,,No,705,BLQ,1139,546,RFn,,1844,TA,11751,,,122,6,6,1844,1977,1977,190000
1216,,,No,444,Rec,550,325,Unf,,1855,TA,9525,,,0,4,6,994,1954,1972,136900
774,,,No,250,GLQ,134,400,Fin,,1430,TA,7750,,,0,5,7,384,2000,2000,180000
1282,,,Av,984,GLQ,280,792,Unf,,2696,Ex,9965,,,184,5,7,1264,2007,2007,383970
2259,,,Mn,35,Unk,905,450,Unf,,2259,Gd,21000,,,120,5,6,1809,1953,1953,217000
1436,,,No,774,ALQ,104,180,Unf,,2320,Gd,7259,,,0,8,6,1028,1945,2002,259500
729,,,No,419,GLQ,310,440,Unf,,1458,TA,3230,,,32,5,6,729,1999,1999,176000
1092,,,No,170,LwQ,252,288,Unf,,1092,TA,11616,,,20,5,5,1092,1962,1962,139000
1125,,,No,0,Unf,1125,430,Unf,,1125,TA,8536,,,64,5,5,1125,2006,2007,155000
1699,,,Mn,1470,GLQ,203,594,Unf,,3222,Gd,12376,,,0,5,7,1673,1990,1990,320000
728,,,No,0,Unf,728,390,Fin,,1456,Gd,8461,,,24,5,6,728,2005,2006,163990
988,,,Gd,938,ALQ,0,540,Unf,,988,TA,21453,,,130,5,6,938,1969,1969,180000
772,,,No,0,Unf,732,264,Unf,,1123,TA,6060,,,0,5,4,732,1939,1950,100000
1080,,,No,570,BLQ,510,288,Unf,,1080,TA,9464,,,0,7,6,1080,1958,1958,136000
1199,,,No,300,GLQ,899,530,RFn,,1199,Gd,7892,,,63,5,6,1199,1993,1993,153900
1586,,,No,0,Unf,1362,435,Unf,,1586,TA,17043,,,0,5,6,1362,1979,1998,181000
520,,,Av,490,GLQ,30,0,None,,754,TA,6780,,,0,8,6,520,1935,1982,84500
958,,,No,120,ALQ,958,440,RFn,,958,TA,4928,,,205,5,6,1078,1976,1976,128000
840,,,No,116,LwQ,556,0,None,,840,TA,4388,,,0,7,5,672,1930,1950,87000
660,,,No,512,BLQ,148,453,RFn,,1348,TA,7590,,,108,5,6,660,1966,1966,155000
1053,,,No,567,Rec,413,750,RFn,,1053,Ex,8973,,,80,7,5,1008,1958,1991,150000
1216,,,No,445,Rec,479,487,Unf,,2157,Gd,14200,,,66,6,7,924,1966,1966,226000
1022,,,No,695,GLQ,297,390,RFn,,2054,Gd,12224,,,48,5,6,992,2000,2000,244000
1327,,,No,405,Rec,658,624,Unf,,1327,Gd,7388,,,0,6,5,1063,1959,2002,150750
1296,,,No,1005,GLQ,262,471,Fin,,1296,Gd,6853,,,25,5,8,1267,2001,2002,220000
1721,,,No,570,Rec,891,440,RFn,,1721,TA,10335,,,96,6,5,1461,1968,1993,180000
1682,,,No,0,Unf,1304,530,Unf,,1682,TA,10400,,,0,6,7,1304,1970,1970,174000
1214,,,No,695,BLQ,519,318,RFn,,1214,TA,10355,,,111,5,5,1214,1967,1967,143000
1959,,,No,0,Unf,1907,766,Unf,,1959,TA,11070,,,0,5,7,1907,1988,1989,171000
1004,,,Mn,668,GLQ,336,660,Fin,,1852,Gd,9066,,,106,5,8,1004,1999,2000,230000
928,,,No,821,GLQ,107,470,RFn,,1764,Gd,15426,,,99,5,6,928,1997,1997,231500
864,,,No,432,ALQ,432,0,None,,864,TA,10500,,,0,5,4,864,1971,1971,115000
1734,,,Av,1300,GLQ,434,660,Unf,,1734,Gd,11645,,,24,5,7,1734,2005,2005,260000
910,,,No,507,Rec,403,720,Unf,,1385,TA,8520,,,0,4,5,910,1952,1952,166000
1501,,,Gd,679,GLQ,811,577,RFn,,1501,Gd,10335,,,29,5,7,1490,1999,1999,204000
1728,,,No,1332,Rec,396,504,Unf,,1728,TA,9100,,,0,5,5,1728,1963,1963,125000
970,,,No,0,Unf,970,380,Unf,,1709,Gd,2522,,,40,5,6,970,2004,2006,130000
875,,,No,209,BLQ,506,180,Unf,,875,TA,6120,,,0,7,5,715,1931,1993,105000
884,,,No,0,Unf,884,434,Fin,,2035,Gd,9505,,,48,5,7,884,2001,2001,222500
1080,,,No,680,GLQ,400,0,None,,1080,Gd,7500,,,0,5,7,1080,2004,2005,141000
896,,,No,0,Unf,896,240,Unf,,1344,TA,6240,,,114,4,5,896,1936,1950,115000
969,,,Av,716,BLQ,253,440,Unf,,969,TA,10356,,,0,6,5,969,1975,1975,122000
1710,,,Gd,1400,Unk,310,866,RFn,,1710,Gd,13891,,,102,5,8,1710,2007,2008,372402
1097,,,No,416,Rec,409,495,RFn,,1993,TA,14803,,,66,5,6,825,1971,1971,190000
1252,,,Gd,429,BLQ,93,564,RFn,,1252,TA,13500,,,0,7,6,1602,1960,1975,235000
1200,,,No,0,Unf,1200,312,Unf,,1200,TA,11340,,,0,5,6,1200,1923,1950,125000
572,,,No,0,Unf,572,0,None,,1096,TA,9600,,,8,5,6,572,1924,1950,79000
1040,,,None,0,None,0,625,Unf,,1040,TA,7200,,,0,7,5,0,1950,1950,109500
774,,,No,0,Unf,774,680,Fin,,1968,Ex,12003,,,75,5,8,774,2009,2010,269500
991,,,No,222,GLQ,769,678,RFn,,1947,Gd,12552,,,136,5,7,991,2004,2005,254900
1392,,,Mn,57,GLQ,1335,576,RFn,,2462,Gd,19378,,,132,5,7,1392,2005,2006,320000
1232,,,No,660,BLQ,572,516,Unf,,1232,TA,11120,,,0,6,6,1232,1984,1984,162500
1572,,,Av,1016,GLQ,556,726,Fin,,2668,Ex,13688,,,0,5,9,1572,2003,2004,412500
1541,,,Mn,1201,Unk,340,532,Unf,,1541,Gd,12182,,,70,5,7,1541,2005,2005,220000
882,,,No,0,Unf,882,0,None,,882,TA,5500,,,0,6,4,882,1956,1956,103200
1149,,,Mn,370,LwQ,779,216,Unf,,1616,Gd,5400,,,0,7,6,1149,1926,2004,152000
808,,,No,351,ALQ,112,0,None,,1355,TA,10106,,,0,7,5,644,1940,1999,127500
1867,,,No,379,LwQ,470,303,Fin,,1867,TA,10708,,,0,5,5,1617,1955,1993,190000
1610,,,No,1288,GLQ,294,789,Fin,,2161,Ex,10562,,,120,5,8,1582,2007,2007,325624
840,,,No,0,Unf,840,440,Fin,,1720,Gd,8244,,,48,5,7,840,2004,2004,183500
1707,,,No,0,Unf,1686,511,RFn,,1707,TA,16669,,,64,6,8,1686,1981,1981,228000
854,,,No,360,Rec,360,660,Unf,,1382,TA,12358,,,0,6,5,720,1941,1950,128500
1656,,,Gd,639,BLQ,441,528,Fin,,1656,TA,31770,,,62,5,6,1080,1960,1960,215000
1064,,,No,495,GLQ,354,504,RFn,,1767,Gd,5306,,,35,7,7,1064,1987,1987,239000
1362,,,No,288,ALQ,700,504,Unf,,1362,TA,10197,,,20,5,6,1362,1961,1961,163000
1651,,,No,1398,ALQ,0,616,Fin,,1651,TA,12416,,,0,5,6,1606,1986,1986,184000
2158,,,Av,477,ALQ,725,576,Unf,,2158,Gd,12615,,,29,7,6,1202,1950,2001,243000
1164,,,No,831,GLQ,320,521,Unf,,2060,TA,10029,,,228,5,6,1151,1988,1989,211000
1252,,,No,57,ALQ,554,451,Unf,,1920,Gd,13650,,,0,5,5,1052,1958,1958,172500
2234,,,No,1904,GLQ,312,1166,Fin,,2234,Ex,17423,,,60,5,9,2216,2008,2009,501837
968,,,No,0,Unf,968,480,Unf,,968,TA,8520,,,0,6,5,968,1923,2006,100000
769,,,No,436,GLQ,320,440,Unf,,1525,Gd,2117,,,0,5,6,756,2000,2000,177000
901,,,No,352,LwQ,441,216,Unf,,1802,TA,7588,,,0,6,7,793,1920,1950,200100
1340,,,None,0,None,0,252,Unf,,1340,TA,9060,,,0,6,5,0,1957,2006,120000
1362,,,No,0,Unf,1362,484,Unf,,2082,Gd,11426,,,238,5,7,1362,2003,2003,200000
936,,,No,0,Unf,504,576,Unf,,1252,TA,7438,,,0,8,5,504,1908,1991,127000
1518,,,Mn,0,Unf,1107,840,Unf,,3608,Ex,22950,,,260,9,10,1107,1892,1993,475000
1217,,,Av,611,GLQ,577,497,Unf,,1217,Gd,9947,,,27,5,7,1188,1990,1991,173000
808,,,No,0,Unf,660,180,Unf,,1656,TA,10410,,,0,7,5,660,1916,1987,135000
1224,,,Av,1086,GLQ,0,528,Unf,,1224,TA,7018,,,0,5,5,1086,1979,1979,153337
1593,,,Av,1153,GLQ,440,682,Fin,,1593,Ex,4923,,,120,5,8,1593,2001,2002,286000
1549,,,No,297,Rec,556,440,Unf,,2727,Gd,10570,,,74,8,8,853,1932,1994,315000
725,,,No,626,ALQ,99,484,Fin,,1479,Gd,7472,,,32,9,7,725,1972,2004,184000
1431,,,Av,560,GLQ,871,666,Fin,,1431,Gd,9017,,,35,5,7,1431,1999,1999,192000
970,,,No,0,Unf,970,380,Unf,,1709,Gd,2522,,,40,5,7,970,2004,2004,130000
864,,,Av,390,ALQ,474,352,Unf,,864,TA,7180,,,0,7,5,864,1972,1972,127000
855,,,No,566,ALQ,289,440,Unf,,1456,TA,2280,,,0,6,6,855,1976,1976,148500
1726,,,No,1126,Unk,600,786,Unf,,1726,Ex,9416,,,138,5,7,1726,2007,2007,311872
1360,,,No,1036,Unk,140,795,Unf,,3112,Gd,25419,,,16,4,8,1360,1918,1990,235000
929,,,No,0,Unf,755,0,None,,2229,TA,5520,,,198,6,6,755,1912,1950,104000
1713,,,Av,1088,GLQ,625,856,Fin,,1713,Ex,9591,,,26,5,8,1713,2004,2005,274900
1121,,,No,0,Unf,1121,440,RFn,,1121,TA,8546,,,64,5,4,1121,2003,2004,140000
1279,,,No,641,ALQ,276,473,Unf,,1279,TA,10125,,,83,6,6,1196,1977,1977,171500
865,,,No,617,LwQ,0,398,Unf,,1310,TA,7000,,,0,6,6,617,1924,1950,112000
848,,,Av,662,GLQ,186,420,RFn,,848,Gd,4438,,,0,5,6,848,2004,2004,149000
720,,,No,312,LwQ,408,240,Unf,,1284,TA,3500,,,35,7,5,720,1947,1950,110000
1442,,,No,0,Unf,1424,500,Unf,,1442,TA,11851,,,34,5,7,1424,1990,1990,180500
1696,,,No,0,Unf,1140,349,Unf,,1696,TA,13673,,,30,5,5,1140,1962,1962,143900
1100,,,No,419,ALQ,375,312,RFn,,1100,TA,12493,,,0,5,4,1100,1960,1960,141000
1180,,,Gd,1065,GLQ,92,454,Unf,,2062,TA,14364,,,55,5,7,1157,1988,1989,277000
1092,,,No,787,Rec,305,504,RFn,,1092,TA,8250,,,0,7,6,1092,1964,1964,145000
864,,,No,468,Rec,396,0,None,,864,TA,5604,,,0,6,5,864,1925,1950,98000
1212,,,Mn,36,GLQ,1176,460,RFn,,1212,Gd,10420,,,22,5,6,1212,2009,2009,186000
932,,,No,822,GLQ,78,644,RFn,,1852,Gd,8640,,,108,5,7,900,2009,2009,252678
990,,,No,716,ALQ,274,576,Unf,,990,TA,13568,,,0,5,5,990,1995,1995,156000
689,,,No,378,GLQ,311,299,Fin,,1392,TA,10900,,,36,7,6,689,1977,1977,161750
1236,,,No,360,BLQ,710,447,Unf,,1236,Gd,10011,,,0,6,5,1070,1957,1996,134450
1436,,,Mn,946,GLQ,490,484,Unf,,1436,Gd,8450,,,98,5,7,1436,2004,2004,210000
810,,,No,0,Unf,686,210,Unf,,1328,TA,9906,,,172,4,4,686,1925,1950,107000
1137,,,No,341,BLQ,457,431,Unf,,1954,Gd,15660,,,119,9,7,798,1939,2006,311500
1248,,,Av,16,GLQ,1232,438,Fin,,1248,Gd,3010,,,0,5,7,1248,2005,2006,167240
1498,,,Mn,0,Unf,1498,675,Unf,,1498,Gd,8990,,,33,5,7,1498,2006,2006,204900
1010,,,No,0,Unf,1010,390,RFn,,2267,Gd,8068,,,46,5,6,1010,2002,2002,200000
811,,,No,550,ALQ,163,434,RFn,,1552,TA,11475,,,208,6,6,713,1975,1975,179900
864,,,No,524,ALQ,160,576,Unf,,864,TA,10500,,,0,6,4,864,1971,1971,97000
2392,,,Gd,56,GLQ,2336,968,Fin,,2392,Ex,13472,,,105,5,10,2392,2003,2003,386250
630,,,No,0,Unf,630,280,Unf,,1302,TA,1680,,,0,5,5,630,1971,1971,112000
1214,,,No,565,GLQ,638,721,Unf,,2520,Gd,9950,,,114,5,7,1203,1995,1995,290000
483,,,No,321,Rec,162,280,Unf,,987,TA,1869,,,0,6,6,483,1970,1970,106000
912,,,No,842,ALQ,70,336,Unf,,912,TA,8521,,,0,5,5,912,1967,1967,125000
1555,,,Av,16,GLQ,1357,430,Fin,,1555,Gd,3182,,,20,5,7,1373,2005,2006,192500
1194,,,No,0,Unf,1194,312,RFn,,1194,TA,8760,,,0,6,6,1194,1959,1959,148000
1490,,,No,689,Unk,773,810,Fin,,2794,Ex,15138,,,146,5,8,1462,1995,1996,403000
483,,,No,0,Unf,483,288,Unf,,987,TA,1680,,,0,5,6,483,1972,1972,94500
894,,,Av,182,LwQ,0,308,Unf,,894,TA,10650,,,0,6,5,894,1976,1976,128200
860,,,No,625,GLQ,235,440,Fin,,1960,Gd,7851,,,48,5,6,860,2002,2002,216500
483,,,No,358,ALQ,125,264,Unf,,987,TA,1680,,,0,3,6,483,1971,1971,89500
1414,,,Av,24,GLQ,1390,494,RFn,,1414,Gd,8773,,,105,5,7,1414,2004,2004,185500
1014,,,No,402,BLQ,594,457,RFn,,1744,Gd,9453,,,70,7,7,996,1993,2003,194500
1694,,,No,0,Unf,1694,818,Fin,,1694,Gd,12030,,,228,5,8,1694,2007,2007,318000
798,,,No,94,LwQ,641,220,Unf,,1487,TA,8741,,,140,4,6,735,1945,1950,113000
1566,,,Av,1078,GLQ,488,750,RFn,,1566,Gd,9000,,,168,5,8,1566,2008,2008,262500
866,,,No,329,ALQ,357,0,None,,866,Gd,3880,,,42,9,5,686,1945,1997,110500
889,,,No,0,Unf,540,352,Unf,,1440,TA,5000,,,0,4,5,540,1900,1950,79000
626,,,No,0,Unf,626,288,RFn,,1217,TA,10762,,,28,6,6,626,1980,1980,120000
1222,,,No,695,GLQ,253,463,RFn,,2110,Gd,8880,,,130,5,7,948,1994,2002,205000
1872,,,Av,929,GLQ,916,604,Unf,,1872,TA,10400,,,39,5,7,1845,1988,1988,241500
908,,,No,0,Unf,1020,440,Unf,,1928,Fa,9142,,,60,8,6,1020,1910,1950,137000
1375,,,No,0,Unf,1367,451,Unf,,1375,TA,11310,,,30,5,6,1367,1954,1954,140000
840,,,No,0,Unf,840,500,RFn,,1668,Gd,11317,,,68,5,7,840,2003,2003,180000
1444,,,Gd,697,Rec,747,389,Fin,,2144,Gd,159000,,,98,7,6,1444,1958,2006,277000
1306,,,No,0,Unf,728,0,None,,1306,Fa,5350,,,0,2,3,728,1940,1966,76500
1625,,,Gd,1573,Unk,0,538,Unf,,1625,Gd,4750,,,0,5,8,1573,2006,2007,235000
798,,,No,0,Unf,798,520,RFn,,1640,Gd,8366,,,45,5,6,798,2004,2004,173000
1302,,,Gd,270,LwQ,452,309,RFn,,1302,Gd,9350,,,0,7,6,1302,1964,1991,158000
1314,,,No,922,Rec,392,294,RFn,,1314,TA,8400,,,0,6,5,1314,1957,1957,145000
1005,,,No,0,Unf,975,429,Fin,,2291,Gd,8738,,,0,5,7,975,1999,1999,230000
864,,,No,503,Rec,361,673,RFn,,1728,Gd,8791,,,56,5,6,864,2003,2003,207500
1604,,,No,1334,GLQ,270,660,RFn,,1604,Gd,8814,,,110,5,7,1604,2006,2006,220000
963,,,No,361,GLQ,602,564,RFn,,1792,Gd,12435,,,96,5,7,963,2001,2001,231500
882,,,None,0,None,0,308,Unf,,882,TA,12702,,,45,5,5,0,1956,1956,97000
1382,,,Gd,672,Rec,0,884,Unf,,1382,TA,19296,,,0,5,6,1362,1962,1962,176000
1482,,,No,0,Unf,1482,868,Fin,,2574,Ex,9588,,,148,5,8,1482,2007,2007,276000
1212,,,Av,506,ALQ,0,492,Unf,,1212,TA,8471,,,12,7,6,506,1977,1995,151000
926,,,No,234,LwQ,0,484,Unf,,1316,TA,5500,,,0,7,5,926,1929,2001,130000
764,,,No,0,Unf,680,504,Unf,,764,TA,5232,,,0,5,5,680,1925,2004,73000
